2025-04-17 23:12:29,962 - WARNING - Failed to fetch statistics for match 3277575061, but will continue processing
2025-04-17 23:12:33,926 - WARNING - Failed to fetch statistics for match 3251764172, but will continue processing
2025-04-17 23:12:37,866 - WARNING - Failed to fetch statistics for match 3285318386, but will continue processing
2025-04-17 23:12:41,832 - WARNING - Failed to fetch statistics for match 3307258250, but will continue processing
2025-04-17 23:12:45,832 - WARNING - Failed to fetch statistics for match 3327908076, but will continue processing
2025-04-17 23:12:49,727 - WARNING - Failed to fetch statistics for match 3577019651, but will continue processing
2025-04-17 23:12:53,715 - WARNING - Failed to fetch statistics for match 3597672098, but will continue processing
2025-04-17 23:12:57,492 - WARNING - Failed to fetch statistics for match 3597672099, but will continue processing
2025-04-17 23:13:01,341 - WARNING - Failed to fetch statistics for match 3597672132, but will continue processing
2025-04-17 23:13:05,172 - WARNING - Failed to fetch statistics for match 3615743196, but will continue processing
2025-04-17 23:13:09,058 - WARNING - Failed to fetch statistics for match 3615743201, but will continue processing
2025-04-17 23:13:13,020 - WARNING - Failed to fetch statistics for match 3640268395, but will continue processing
2025-04-17 23:13:16,962 - WARNING - Failed to fetch statistics for match 3640268387, but will continue processing
2025-04-17 23:15:06,466 - WARNING - Failed to fetch statistics for match 3285318452, but will continue processing
2025-04-17 23:15:10,349 - WARNING - Failed to fetch statistics for match 3307258275, but will continue processing
2025-04-17 23:15:14,207 - WARNING - Failed to fetch statistics for match 3307258276, but will continue processing
2025-04-17 23:15:18,028 - WARNING - Failed to fetch statistics for match 3285318444, but will continue processing
2025-04-17 23:15:21,884 - WARNING - Failed to fetch statistics for match 3327908101, but will continue processing
2025-04-17 23:15:25,733 - WARNING - Failed to fetch statistics for match 3327908107, but will continue processing
2025-04-17 23:15:29,602 - WARNING - Failed to fetch statistics for match 3373081284, but will continue processing
2025-04-17 23:15:33,433 - WARNING - Failed to fetch statistics for match 3373081282, but will continue processing
2025-04-17 23:15:37,312 - WARNING - Failed to fetch statistics for match 3726754082, but will continue processing
2025-04-17 23:15:41,150 - WARNING - Failed to fetch statistics for match 3726754077, but will continue processing
